date,reserve0,reserve1,token0.name,token1.name,priceUSD
2021-04-01 00:00:00,140834312.340274,71501.958284769872576203,USD//C,Wrapped Ether,1972.425951181143917787588157017523
2021-04-02 00:00:00,151328688.836752,71073.395442971169007148,USD//C,Wrapped Ether,2132.028808049444014009787533571761
2021-04-03 00:00:00,146977072.713522,73144.493568772915691969,USD//C,Wrapped Ether,2012.023138698471297481206165264354
2021-04-04 00:00:00,147551203.328062,71527.950397832691334864,USD//C,Wrapped Ether,2068.667966592383792400983235586566
2021-04-05 00:00:00,149524704.511764,71194.018285169082915129,USD//C,Wrapped Ether,2099.880098882945711293688014341482
2021-04-06 00:00:00,151392212.783866,71629.973520417380678843,USD//C,Wrapped Ether,2114.022839055910349682076268892729
2021-04-07 00:00:00,146837672.540569,74677.423484047322528439,USD//C,Wrapped Ether,1963.336308846843227815018264364638
2021-04-08 00:00:00,140749071.78262,67774.679624138919835179,USD//C,Wrapped Ether,2076.632254561638855064597526752317
2021-04-09 00:00:00,137147407.761066,66587.814156000287056088,USD//C,Wrapped Ether,2062.572319640902182944996323125008
2021-04-10 00:00:00,139816303.274951,65509.177447333069201802,USD//C,Wrapped Ether,2133.080420688393789667877797848555
2021-04-11 00:00:00,143575226.950636,66927.053098819953227696,USD//C,Wrapped Ether,2145.367133154610359769877069263635
2021-04-12 00:00:00,145245184.410107,67807.286615427096239125,USD//C,Wrapped Ether,2144.687426757200044338732810819271
2021-04-13 00:00:00,152265196.371034,66282.107507926318797337,USD//C,Wrapped Ether,2298.205214574670660817308753734685
2021-04-14 00:00:00,155844781.254951,64276.834315071984280011,USD//C,Wrapped Ether,2423.457737225442300208865365793033
2021-04-15 00:00:00,156913200.428559,62384.028679044927014822,USD//C,Wrapped Ether,2513.211709521150408580008339793153
2021-04-16 00:00:00,154910256.09288,63811.575374283810956874,USD//C,Wrapped Ether,2426.4508874367413953041241130241
2021-04-17 00:00:00,156493187.1196,67351.501840445104651625,USD//C,Wrapped Ether,2322.149993897004316943270529553896
2021-04-18 00:00:00,154717288.806506,69183.068680698458269835,USD//C,Wrapped Ether,2235.927951603935423325019334519642
2021-04-19 00:00:00,153278072.013952,70741.735277217852831945,USD//C,Wrapped Ether,2164.450397776854160996063964437101
2021-04-20 00:00:00,161470433.782363,69382.766453319524322928,USD//C,Wrapped Ether,2331.04410608730624779374048941989
2021-04-21 00:00:00,172112329.431869,72786.326761343516972705,USD//C,Wrapped Ether,2364.776284067254916171636117541914
2021-04-22 00:00:00,179320434.074353,74668.776412849397597336,USD//C,Wrapped Ether,2401.159817688562461969337469443766
2021-04-23 00:00:00,181425364.652403,76524.533201369520769978,USD//C,Wrapped Ether,2365.467094935670284858085456568612
2021-04-24 00:00:00,177237530.673494,80081.069185567395860236,USD//C,Wrapped Ether,2213.269195666937164803530287631742
2021-04-25 00:00:00,183274926.135019,79206.746947818738425382,USD//C,Wrapped Ether,2314.544734000812165346466757316276
2021-04-26 00:00:00,194992978.245861,76922.169465958996044441,USD//C,Wrapped Ether,2531.474976974758635220246909774225
2021-04-27 00:00:00,199257740.912028,74948.609302106970397899,USD//C,Wrapped Ether,2657.789571153640871951301004417789
2021-04-28 00:00:00,205229455.752199,74755.982376609858070691,USD//C,Wrapped Ether,2743.605544510615417784253073839449
2021-04-29 00:00:00,208531162.205631,75530.837987713541609236,USD//C,Wrapped Ether,2757.800925575845949112998246317409
2021-04-30 00:00:00,206956620.218795,74722.914476619509626992,USD//C,Wrapped Ether,2771.787375074326005872894404999597
2021-05-01 00:00:00,213367876.5041,72486.947863047911933994,USD//C,Wrapped Ether,2942.415109937576012024666306308406
2021-05-02 00:00:00,214555572.728287,72748.736705663277222585,USD//C,Wrapped Ether,2947.040416947217628770729510023026
2021-05-03 00:00:00,227992455.110094,66576.36070394774645005,USD//C,Wrapped Ether,3425.722822756163611160138925590033
2021-05-04 00:00:00,217607980.297304,67032.361688438258245679,USD//C,Wrapped Ether,3244.981582159085227464730080939232
2021-05-05 00:00:00,215366571.97943,61211.865831792300227036,USD//C,Wrapped Ether,3518.206256000763904897008343764563
2021-05-06 00:00:00,191786688.710617,54836.498284764150811462,USD//C,Wrapped Ether,3496.116199989852449867221682700062
2021-05-07 00:00:00,181806570.586949,52256.941756066784222773,USD//C,Wrapped Ether,3481.11899865438117217076876024513
2021-05-08 00:00:00,184595894.347321,47262.041138366610847075,USD//C,Wrapped Ether,3906.092403713435917607461749350141
2021-05-09 00:00:00,175688676.787239,44811.742723997984927163,USD//C,Wrapped Ether,3918.815312924733869760123035899779
2021-05-10 00:00:00,173657552.517339,44030.952530747246972374,USD//C,Wrapped Ether,3946.664725840027355252815842395587
2021-05-11 00:00:00,175481571.729201,42116.692327164299569694,USD//C,Wrapped Ether,4167.839971669392239675822476759074
2021-05-12 00:00:00,166225176.215259,43548.74978724322318863,USD//C,Wrapped Ether,3817.7215033744482690324444102361
2021-05-13 00:00:00,163741738.829517,44002.901224838787942713,USD//C,Wrapped Ether,3721.098365449099349776485031577454
2021-05-14 00:00:00,168576330.714176,41242.141782448610653466,USD//C,Wrapped Ether,4086.183276226421659946966013677462
2021-05-15 00:00:00,158866786.99468,43603.900382892192447992,USD//C,Wrapped Ether,3642.534557340145099178216825384355
2021-05-16 00:00:00,157371724.690153,43926.549299409326228182,USD//C,Wrapped Ether,3583.761902937442837011855365996189
2021-05-17 00:00:00,149778333.537006,45541.042924188714430813,USD//C,Wrapped Ether,3287.426019060129563768242374873348
2021-05-18 00:00:00,151293936.904551,44673.50237398989938013,USD//C,Wrapped Ether,3384.423920075595782909251249960997
2021-05-19 00:00:00,108045054.515599,43967.930257387295144008,USD//C,Wrapped Ether,2453.733081122075417930528987563399
2021-05-20 00:00:00,115103840.189385,41434.751920037634008164,USD//C,Wrapped Ether,2777.162383973812581590015275521002
2021-05-21 00:00:00,109280857.193834,44978.136242010872041106,USD//C,Wrapped Ether,2426.581511298476873204800287440745
2021-05-22 00:00:00,106974547.818535,46652.618916176962285456,USD//C,Wrapped Ether,2293.148035446579390664229314808747
2021-05-23 00:00:00,114884630.075818,54601.612394610805101311,USD//C,Wrapped Ether,2104.508156614223769148860342253192
2021-05-24 00:00:00,151643480.3267,57414.327919439797574948,USD//C,Wrapped Ether,2640.371210266738328988615105079697
2021-05-25 00:00:00,154634824.47714,57238.348012249050710996,USD//C,Wrapped Ether,2700.971555598284542350104038779208
2021-05-26 00:00:00,158688908.096767,55030.131207069551100739,USD//C,Wrapped Ether,2881.159778653211561352101032972163
2021-05-27 00:00:00,139353591.753215,50837.844364219410979213,USD//C,Wrapped Ether,2741.623809645900182370685768879532
2021-05-28 00:00:00,126699403.555369,52360.242547051342240307,USD//C,Wrapped Ether,2417.947022392057016395715061558865
2021-05-29 00:00:00,128258673.872614,56207.010530262143069607,USD//C,Wrapped Ether,2281.176509569692815795154268495489
2021-05-30 00:00:00,133955454.020394,56020.038432883615390597,USD//C,Wrapped Ether,2389.314660197253992727205110250349
2021-05-31 00:00:00,140631963.424924,51988.625628067706667415,USD//C,Wrapped Ether,2705.914599066110745316297266550412
2021-06-01 00:00:00,137571475.11169,52205.063361385517839779,USD//C,Wrapped Ether,2631.170498383245986815158158915085
2021-06-02 00:00:00,143411795.514937,52895.250395762047528947,USD//C,Wrapped Ether,2712.041162751891438173075402885807
2021-06-03 00:00:00,146102894.507851,51170.53851124143616048,USD//C,Wrapped Ether,2855.470198712424052713966888961621
2021-06-04 00:00:00,133924429.598766,49928.379956710708188391,USD//C,Wrapped Ether,2686.553411446402671505807205279113
2021-06-05 00:00:00,135717171.233104,51745.5568905487189792,USD//C,Wrapped Ether,2623.658279340929080018349158958404
2021-06-06 00:00:00,139627089.8199,51599.706149731775730978,USD//C,Wrapped Ether,2704.94320386571878597781857177992
2021-06-07 00:00:00,133060401.746967,51455.861195492101905975,USD//C,Wrapped Ether,2584.299779215443412628693109490651
2021-06-08 00:00:00,128292030.819602,51104.604405529797808296,USD//C,Wrapped Ether,2509.163297844465982172367023853653
2021-06-09 00:00:00,131030454.705421,50255.87177826704607722,USD//C,Wrapped Ether,2606.27939134625122023686117690593
2021-06-10 00:00:00,120606903.992503,48789.713097754055611311,USD//C,Wrapped Ether,2470.354998709753343583230116106008
2021-06-11 00:00:00,118488483.268688,50424.172480984008769768,USD//C,Wrapped Ether,2349.615257098239767786288671791152
2021-06-12 00:00:00,118216751.35683,49806.235251678117576143,USD//C,Wrapped Ether,2373.015897798206585245883789043019
2021-06-13 00:00:00,127133161.025539,50710.315639385414488602,USD//C,Wrapped Ether,2506.324987451199869801900575136066
2021-06-14 00:00:00,127423497.263608,49486.409539613626430058,USD//C,Wrapped Ether,2575.477463319915354240551767655633
2021-06-15 00:00:00,126267566.401998,49508.53853077275208711,USD//C,Wrapped Ether,2550.969925690528779257093695018291
2021-06-16 00:00:00,118941403.886867,50357.807963074654542604,USD//C,Wrapped Ether,2360.79148703821581578531820222863
2021-06-17 00:00:00,118684480.092389,50113.535489938192061216,USD//C,Wrapped Ether,2370.14964738419384745544414920246
2021-06-18 00:00:00,99824759.915509,44630.035783289853304632,USD//C,Wrapped Ether,2232.264123138657039169689152266622
2021-06-19 00:00:00,95945940.274993,44165.811759630535303296,USD//C,Wrapped Ether,2170.697313018871632811153407073446
2021-06-20 00:00:00,93222799.898798,41622.187493188885111444,USD//C,Wrapped Ether,2238.740081793423624778092650838548
2021-06-21 00:00:00,85394747.728871,45305.792777157120572696,USD//C,Wrapped Ether,1887.509898931465755559469894433275
2021-06-22 00:00:00,98895329.222685,52828.877538278748953626,USD//C,Wrapped Ether,1872.161485143677517309910619522623
