dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserveUSD,totalSupply,token0.name,token0.totalLiquidity,token1.name,token1.totalLiquidity,priceUSD
69275902.479592,38767.136826506903531432,69267018.5051357664859237346421326,2021-03-17 00:00:00,258486092.0081602215699308160231287,2.064694781685893094,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1823.507178500705186808021123525388
71223888.197785,39481.471044039330666029,71250780.2636935293881747398383678,2021-03-18 00:00:00,255248362.571769697664766238323282,2.06602584822993373,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1778.85098684165670662065331690169
70128820.800616,38952.820364375255344467,70146013.76464571751965469177423651,2021-03-19 00:00:00,259846705.7044863424251817764992592,2.084609793197092864,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1807.604599743042580599887514821981
63842527.683771,34828.728089006806559601,63858237.1637230913618566174018157,2021-03-20 00:00:00,260393498.1802259932547739537743754,2.086782574891695886,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1809.114106230393504908287830192406
63150427.912384,35390.320097271102951618,63175577.36892024518803103221809512,2021-03-21 00:00:00,265176928.3348195461494869650828205,2.139313224711611055,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1782.08782062251704977974663309068
123826975.291118,71027.67944286233779362,123874329.5563187667113299196922235,2021-03-22 00:00:00,261838190.5904928555116492897578376,2.170016965018078488,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1681.385896035168720904385196787517
110098609.832714,65149.297185566723452689,110108791.2107771489993607896237707,2021-03-23 00:00:00,232999864.4492175511562899818490727,1.934692951871285971,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1669.038945313620122863467425866961
140860705.615538,85692.028204386579293201,140947581.2030555604533151376379904,2021-03-24 00:00:00,240308389.8294275928893676127588065,2.043965883810636747,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1584.718635648443968446502491914845
109724504.538875,69061.844664458402985129,109730966.9060855045695039509965776,2021-03-25 00:00:00,238311464.5102204161310069108282199,2.02121996763884277,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1591.091067572618258889175345571963
82488438.626382,50254.234927212876474222,82507244.40486888694637272032792377,2021-03-26 00:00:00,252486332.4287368050430367680735678,2.073935300079809082,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1696.799547067369474670851739818491
59259349.024339,34920.213339570789910913,59274120.38564035783368283194454413,2021-03-27 00:00:00,268660184.3592176241256373358903212,2.189942757983578853,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1716.946129907537226514524692700341
59442900.830037,35036.78511743631208489,59464443.05663102864302893696974509,2021-03-28 00:00:00,268238211.5767025284563773153033321,2.205878072579470258,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1685.849087781564682409518674835839
117760344.106822,65813.566512292549041132,117490795.7086423509798275760204368,2021-03-29 00:00:00,276026715.9221136710751371042272511,2.185055343680602568,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1813.626857813313826974108690242228
78212534.877494,42774.38863061673518548,78197780.13588448648983481522077762,2021-03-30 00:00:00,277757689.1675096874077836403856693,2.180290603080333256,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1838.830339466855887000257501980257
103798349.489455,55586.641037794645201812,103752197.2888337302689959670858926,2021-03-31 00:00:00,288775860.4447359416131516784599315,2.220146535931331092,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1918.342815322769807789338501669373
93454238.354144,48260.543347735254299752,93474533.56467854687102437009224179,2021-04-01 00:00:00,282061213.3683849439191715618014511,2.133963151800116592,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1972.425951181143917787588157017523
105131897.390953,51476.580664962239651119,105226596.9084309809135803606455909,2021-04-02 00:00:00,303050465.6912191397502226512020495,2.203025565423725013,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2132.028808049444014009787533571761
123681389.310458,59714.309403762717659878,124003916.5509132051082300408868489,2021-04-03 00:00:00,294333083.3516504644370357759223434,2.199788496789556959,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2012.023138698471297481206165264354
65869567.950549,32175.646913501408228146,65898355.4379597937707919365056784,2021-04-04 00:00:00,295935159.4080108858226729660530693,2.178126253174172784,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2068.667966592383792400983235586566
63825261.868553,30733.38015675623809813,63854712.54883748951349719227010549,2021-04-05 00:00:00,299002770.6349367012285065386900473,2.186112346406190698,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2099.880098882945711293688014341482
84711502.696485,40158.638744775408104609,84725584.01928870150005894047756689,2021-04-06 00:00:00,302852434.1911567946835183304690573,2.204592448387275015,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2114.022839055910349682076268892729
117233833.619255,58338.3881660860655499,117345853.6114226383571813464257674,2021-04-07 00:00:00,293234923.7138107402544987618198284,2.214244920088280433,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1963.336308846843227815018264364638
74434953.610006,36734.111369736238417384,74463120.73116594316786232184807931,2021-04-08 00:00:00,281486171.5001367427458487304815655,2.063602466058074852,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2076.632254561638855064597526752317
60148913.836466,29052.40555208347196802,60215059.83286116737751300301685256,2021-04-09 00:00:00,274697904.4228478821472137769603624,2.017809174823244524,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2062.572319640902182944996323125008
89178413.389192,41856.878050930277134931,89231740.6820483323229600882716768,2021-04-10 00:00:00,279472687.5766157241077279190841254,2.018840099969924849,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2133.080420688393789667877797848555
